"id_cotiza","fecha","tipo_cambio","feccre","usucre","fecultmod","usuultmod"
"4","2017-06-23","16.13","2017-06-26 12:10:34","2",,
"3","2017-06-14","15.851","2017-06-15 20:11:40","1","2017-06-26 12:13:27",""
"5","2017-06-22","16.1875","2017-06-26 12:11:34","2",,
"6","2017-06-21","16.3575","2017-06-26 12:11:57","2",,
"7","2017-06-19","16.0662","2017-06-26 12:12:17","2",,
"8","2017-06-16","16.0097","2017-06-26 12:12:34","2",,
"9","2017-06-15","15.9243","2017-06-26 12:12:52","2",,
"10","2017-06-13","15.892","2017-06-26 12:13:46","2",,
"11","2017-06-12","15.9317","2017-06-26 12:14:02","2",,
"12","2017-06-09","15.9","2017-06-26 12:14:19","2",,
"13","2017-06-26","15.9892","2017-06-26 12:14:32","2",,
"14","2017-06-07","16.0055","2017-06-26 12:14:46","2",,
"15","2017-06-06","16.0075","2017-06-26 12:15:02","2",,
"16","2017-06-05","16.031","2017-06-26 12:15:18","2",,
"17","2017-06-02","16.0313","2017-06-26 12:15:35","2",,
"18","2017-06-01","16.0577","2017-06-26 12:15:48","2",,
"19","2017-05-31","16.142","2017-06-26 12:16:08","2",,
"20","2017-05-30","16.0658","2017-06-26 12:16:21","2",,
"21","2017-05-29","16.0075","2017-06-26 12:16:48","2",,
"22","2017-05-26","16.0383","2017-06-26 12:17:09","2",,
"23","2017-05-24","16.0975","2017-06-26 12:17:25","2","2017-06-26 12:17:39",""
"24","2017-05-23","16.0967","2017-06-26 12:17:53","2",,
"25","2017-05-22","16.07","2017-06-26 12:18:14","2",,
"26","2017-05-19","15.8858","2017-06-26 12:18:32","2",,
"27","2017-05-18","15.9108","2017-06-26 12:18:48","2",,
"28","2017-05-17","15.6248","2017-06-26 12:19:02","2",,
"29","2017-05-16","15.5928","2017-06-26 12:19:20","2",,
"30","2017-05-15","15.4848","2017-06-26 12:19:33","2",,
"31","2017-05-12","15.4127","2017-06-26 12:19:49","2",,
"32","2017-05-11","15.4575","2017-06-26 12:20:06","2",,
"33","2017-05-10","15.5347","2017-06-26 12:20:20","2",,
"34","2017-05-09","15.5467","2017-06-26 12:20:35","2",,
"35","2017-05-08","15.3908","2017-06-26 12:20:52","2",,
"36","2017-05-05","15.335","2017-06-26 12:21:08","2",,
"37","2017-05-04","15.3722","2017-06-26 12:21:27","2",,
"38","2017-05-03","15.2687","2017-06-26 12:21:42","2",,
"39","2017-05-02","15.3258","2017-06-26 12:22:03","2",,
"40","2017-04-28","15.4268","2017-06-26 12:22:20","2","2018-02-08 14:54:34",""
"41","2017-06-27","16.39","2017-06-27 20:58:43","2",,
"42","2017-06-28","16.369","2017-06-29 12:21:26","2",,
"43","2017-07-05","17.0018","2017-07-06 11:54:21","2",,
"44","2017-07-04","16.8733","2017-07-06 11:55:01","2",,
"45","2017-07-03","16.6817","2017-07-06 11:55:20","2",,
"46","2017-06-30","16.5985","2017-07-06 11:55:52","2",,
"47","2017-06-29","16.481","2017-07-06 11:56:27","2",,
"48","2017-07-11","16.993","2017-07-12 12:31:33","2",,
"49","2017-07-10","16.99","2017-07-12 12:31:47","2",,
"50","2017-07-07","16.9743","2017-07-12 12:32:16","2",,
"51","2017-07-06","17.1483","2017-07-12 12:32:44","2",,
"52","2017-07-12","16.9717","2017-07-12 15:15:52","3",,
"53","2017-07-13","16.9517","2017-07-13 15:01:45","3",,
"54","2017-07-14","16.8697","2017-07-14 15:07:40","3",,
"55","2017-07-17","16.8758","2017-07-18 14:02:55","2",,
"56","2017-07-18","17.0267","2017-07-18 15:04:35","3",,
"57","2017-07-19","17.3117","2017-07-19 15:04:26","3",,
"58","2017-07-25","17.4092","2017-07-25 15:46:42","2",,
"59","2017-07-24","17.5367","2017-07-25 15:47:03","2",,
"60","2017-07-21","17.3383","2017-07-25 15:47:20","2",,
"61","2017-07-20","17.1258","2017-07-25 15:47:44","2",,
"62","2017-07-26","17.4743","2017-07-26 15:23:12","3",,
"63","2017-07-27","17.5617","2017-07-27 15:11:31","3",,
"64","2017-07-28","17.7642","2017-07-28 15:14:35","3",,
"65","2017-07-31","17.67","2017-07-31 15:28:19","2",,
"66","2017-08-01","17.6135","2017-08-01 15:17:41","3",,
"67","2017-08-03","17.6408","2017-08-03 15:54:43","3",,
"68","2017-08-02","17.5648","2017-08-04 14:41:55","2",,
"69","2017-08-04","17.6517","2017-08-04 15:08:32","2",,
"70","2017-08-07","17.7017","2017-08-07 15:17:03","2",,
"71","2017-08-08","17.7128","2017-08-08 14:56:19","3",,
"72","2017-08-09","17.7833","2017-08-09 15:08:14","3",,
"73","2017-08-10","17.7298","2017-08-10 14:54:21","3",,
"74","2017-08-11","17.712","2017-08-11 15:05:59","2",,
"75","2017-08-14","17.1533","2017-08-14 15:02:07","3",,
"76","2017-08-15","17.0583","2017-08-15 15:01:48","2",,
"77","2017-08-16","17.1117","2017-08-16 15:11:12","2",,
"78","2017-08-17","17.2665","2017-08-17 15:55:22","2",,
"79","2017-08-18","17.2822","2017-08-18 15:15:17","3",,
"80","2017-08-23","17.2248","2017-08-23 15:08:45","3",,
"81","2017-08-24","17.1767","2017-08-24 15:07:41","3",,
"82","2017-08-25","17.2223","2017-08-25 15:21:13","3",,
"83","2017-08-28","17.2155","2017-08-28 14:56:09","3",,
"84","2017-08-29","17.308","2017-08-29 15:22:36","2",,
"85","2017-09-01","17.2367","2017-08-29 15:27:26","3","2017-09-01 15:03:56",
"86","2017-08-30","17.4403","2017-08-30 15:05:48","3",,
"87","2017-09-06","17.2183","2017-08-31 15:22:58","2","2017-09-06 15:00:24",""
"88","2017-08-31","17.365","2017-08-31 15:23:01","3",,
"89","2017-09-04","17.2425","2017-09-04 14:53:27","3",,
"90","2017-09-05","17.2583","2017-09-04 14:58:11","3","2017-09-05 15:03:05",
"91","2017-09-07","17.2165","2017-09-07 15:03:32","2",,
"92","2017-09-08","17.2083","2017-09-08 15:25:07","2",,
"93","2017-09-11","17.2012","2017-09-11 15:24:09","2",,
"94","2017-09-12","17.1125","2017-09-12 15:03:43","3",,
"95","2017-09-13","17.0583","2017-09-13 15:08:57","3",,
"96","2017-09-14","17.0123","2017-09-14 15:21:20","2",,
"97","2017-09-15","16.972","2017-09-15 15:33:48","3",,
"98","2017-09-18","17.0558","2017-09-18 14:53:16","2",,
"99","2017-09-19","17.1983","2017-09-19 15:51:56","3",,
"100","2017-09-20","17.1483","2017-09-20 14:55:40","3",,
"101","2017-09-22","17.3","2017-09-22 15:40:50","2",,
"102","2017-09-21","17.2755","2017-09-22 15:41:11","2",,
"103","2017-09-25","17.4087","2017-09-25 15:02:41","2",,
"104","2017-09-26","17.6108","2017-09-26 15:13:23","2",,
"105","2021-07-20","96.34","2017-09-27 15:22:00","2","2021-07-20 14:05:45","2"
"106","2017-09-28","17.5562","2017-09-28 15:05:59","2",,
"107","2017-09-29","17.3183","2017-09-29 14:53:04","2",,
"108","2017-10-02","17.3475","2017-10-02 15:12:58","2",,
"109","2017-10-03","17.4283","2017-10-03 15:16:04","2",,
"110","2017-10-04","17.3623","2017-10-04 15:11:38","3",,
"111","2017-10-05","17.342","2017-10-05 14:58:34","3",,
"112","2017-10-06","17.5117","2017-10-06 15:03:19","3",,
"113","2017-10-09","17.47","2017-10-09 16:04:20","2",,
"114","2017-10-10","17.4425","2017-10-10 15:05:06","3",,
"115","2017-10-11","17.4312","2017-10-11 15:08:25","2",,
"116","2017-10-12","17.4342","2017-10-12 15:24:01","3",,
"117","2017-10-13","17.361","2017-10-13 15:10:51","2",,
"118","2017-10-17","17.3793","2017-10-17 15:08:00","2",,
"119","2017-10-18","17.325","2017-10-18 15:08:39","2",,
"120","2023-09-13","349.5","2017-10-19 15:10:04","2","2023-09-12 15:41:12","1"
"121","2017-10-20","17.471","2017-10-20 15:40:21","2",,
"122","2017-10-23","17.3217","2017-10-23 15:23:39","3",,
"123","2017-10-24","17.495","2017-10-24 15:12:09","2",,
"124","2017-10-25","17.4458","2017-10-25 15:15:54","2",,
"125","2017-10-26","17.5308","2017-10-26 15:09:03","2",,
"126","2017-10-27","17.6775","2017-10-27 15:20:26","2",,
"127","2017-10-30","17.6578","2017-10-30 15:10:40","2",,
"128","2017-10-31","17.6713","2017-10-31 15:02:28","2",,
"129","2017-11-01","17.6492","2017-11-01 15:05:14","2",,
"130","2017-11-02","17.5733","2017-11-02 15:03:07","2",,
"131","2017-11-03","17.5642","2017-11-03 15:02:00","3",,
"132","2017-11-07","17.6703","2017-11-07 15:41:08","3",,
"133","2017-11-08","17.5575","2017-11-08 14:58:31","2",,
"134","2017-11-09","17.537","2017-11-09 15:20:26","2",,
"135","2017-11-10","17.5158","2017-11-10 15:01:26","2",,
"136","2017-11-13","17.5367","2017-11-13 15:10:21","3",,
"137","2017-11-14","17.4898","2017-11-14 15:07:39","2",,
"138","2017-11-15","17.5325","2017-11-15 15:07:54","2",,
"139","2017-11-16","17.4942","2017-11-16 15:13:01","2",,
"140","2023-01-02","178.16","2017-11-17 15:02:54","2","2023-01-03 15:55:37","2"
