"id_nota_debito","pto_vta","NroNotaDebito","Fecha","Tipo_Entidad","entidad_id","Concepto","observacion","efectivo","PorImpuesto","ImpImpuesto","Total","Estado","feccre","fecultmod","vendedor_id"
"1","2","1","2016-08-25","C","37","Servicio de Asesoramiento ",,"14.88","21","3.12","18",,"2016-08-25 09:55:42",,
"2","2","2","2019-10-25","C","178","Servicio de Asesoramiento ",,"420.92","21","88.39","509.31",,"2019-10-25 17:54:21",,
"3","2","3","2020-06-22","C","835","Servicio de Asesoramiento ",,"3","21","0.63","3.63",,"2020-06-22 22:23:30",,
"4","2","4","2020-06-22","C","823","Servicio de Asesoramiento ",,"0.01","21","0","0.01",,"2020-06-22 22:24:17",,
"5","2","5","2020-06-22","C","794","Servicio de Asesoramiento ",,"0.14","21","0.03","0.17",,"2020-06-22 22:25:23",,
"6","2","6","2020-06-22","C","863","Servicio de Asesoramiento ",,"0.01","21","0","0.01",,"2020-06-22 22:25:55",,
"7","2","7","2020-06-22","B","1310","Servicio de Asesoramiento ",,"0.03","0","0","0.03",,"2020-06-22 22:27:48",,
"8","2","8","2020-06-22","C","775","Servicio de Asesoramiento ",,"0.12","0","0","0.12",,"2020-06-22 22:28:44",,
"9","2","9","2020-06-22","C","747","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2020-06-22 22:29:11",,
"10","2","10","2020-06-22","B","1313","Servicio de Asesoramiento ",,"1509.39","0","0","1509.39",,"2020-06-22 22:30:30",,
"11","2","11","2020-06-22","C","844","Servicio de Asesoramiento ",,"4.82","0","0","4.82",,"2020-06-22 22:30:59",,
"12","2","12","2020-06-22","C","769","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2020-06-22 22:31:47",,
"13","2","13","2020-06-22","C","774","Servicio de Asesoramiento ",,"2.5","0","0","2.5",,"2020-06-22 22:32:23",,
"14","2","14","2020-06-22","C","763","Servicio de Asesoramiento ",,"1.72","0","0","1.72",,"2020-06-22 22:32:45",,
"15","2","15","2020-06-22","C","567","Servicio de Asesoramiento ",,"0.3","0","0","0.3",,"2020-06-22 22:33:11",,
"16","2","16","2020-06-22","C","170","Servicio de Asesoramiento ",,"395","0","0","395",,"2020-06-22 22:33:38",,
"17","2","17","2020-06-22","C","885","Servicio de Asesoramiento ",,"0.99","0","0","0.99",,"2020-06-22 22:34:04",,
"18","2","18","2020-06-22","C","814","Servicio de Asesoramiento ",,"0.01","0","0","0.01",,"2020-06-22 22:34:42",,
"19","2","19","2020-06-22","C","793","Servicio de Asesoramiento ",,"0.3","0","0","0.3",,"2020-06-22 22:35:17",,
"20","2","20","2020-06-22","C","792","Servicio de Asesoramiento ",,"20.21","0","0","20.21",,"2020-06-22 22:35:42",,
"21","2","21","2020-06-22","C","798","Servicio de Asesoramiento ",,"1.34","0","0","1.34",,"2020-06-22 22:36:36",,
"22","2","22","2020-06-22","C","766","Servicio de Asesoramiento ",,"1.52","0","0","1.52",,"2020-06-22 22:37:11",,
"23","2","23","2020-06-22","C","766","Servicio de Asesoramiento ",,"1.52","0","0","1.52",,"2020-06-22 22:40:03",,
"24","2","24","2020-06-22","C","83","Servicio de Asesoramiento ",,"1","0","0","1",,"2020-06-22 22:40:28",,
"25","2","25","2020-06-22","C","673","Servicio de Asesoramiento ",,"0.87","0","0","0.87",,"2020-06-22 22:41:00",,
