"IdReferencia","Descripcion","seleccion","usuario","feccre","fecultmod","deleted_at"
"1","COD 628 Pago de Regalías","0","1","2009-03-11 15:00:00","2013-08-22 16:58:31",
"2","COD 101 Expo - Orden de Pago ",,"1","2009-03-11 15:00:00","2013-05-21 11:13:37",
"3","B14 Cancelación de garantías comerciales de Bancos por Impo de Bs con registro de ingreso aduanero",,"1","2009-03-11 15:00:00","2020-07-05 12:56:28",
"4","P13 Pagos de principal de deudas financieras con el exterior originadas en importaciones de bienes",,"1","2009-03-11 15:00:00","2020-07-05 12:57:04",
"5","INTERESES DE PREFINANCIACIÓN",,"1","2009-03-11 15:00:00","2009-12-28 13:16:38",
"6","COD 102 Expo-Cobros Anticipados ",,"1","2009-03-11 15:00:00","2013-05-21 11:13:09",
"7","COD 111 FINANCIACIÓN DE EXPO",,"1","2009-03-11 15:00:00","2013-08-22 16:29:23",
"8","COD 103 PreFi de exportaciones del exterior",,"1","2009-03-11 15:00:00","2013-08-22 16:42:20",
"9","Remanente - Exportación (101)",,"1","2009-03-11 15:00:00","2011-07-19 13:06:25",
"10","Cancelación Finan de Impo",,"1","2009-03-11 15:00:00","2010-01-27 17:02:04",
"11","COD 745 Utilidades y dividendos pagados al exterior",,"1","2009-03-11 15:00:00","2013-08-22 16:51:29",
"12","COD 156 IMPO- PAGO ANTICIPADO",,"1","2009-03-11 15:00:00","2013-08-22 16:30:01",
"13","COD 153 - 157 IMPO- PAGO DIFERIDO",,"1","2009-03-11 15:00:00","2013-08-22 16:30:38",
"14","TRANSFERENCIA AL EXTERIOR",,"1","2009-03-11 15:00:00","2011-09-22 10:39:35",
"15","Transferencia por Servicios",,"100","2009-03-11 15:00:00",,
"16","Intereses de FINANCIACIÓN",,"1","2009-03-11 15:00:00","2009-12-28 13:15:52",
"17","FINANCIACIÓN DE IMPORTACIÓN",,"1","2009-03-11 15:00:00","2009-12-28 13:10:13",
"18","IMPORTACIÓN - CARTA DE CRÉDITO",,"1","2009-03-11 15:00:00","2010-01-27 16:59:54",
"19","COD 154 - 155 IMPO- PAGO VISTA",,"1","2009-03-11 15:00:00","2013-08-22 16:32:03",
